species,sample_name,folder_id,Scientific species name,E/L flowering,tissue,genome_reference_path,fastq_file_path
Dogwood,Dog-1,coflo ,Cornus florida subsp. Florida,E,Pollen,{current_dir}/reference,{current_dir}/input
Dogwood,Dog-5,coflo ,Cornus florida subsp. Florida,E,Pollen,,
Dogwood,Dog-6,coflo ,Cornus florida subsp. Florida,E,Pollen,,
Appalachian Spring,AS-17,coflo ,Cornus florida 'Appalachian Spring',E,Pollen,,
Appalachian Spring,AS-18,coflo ,Cornus florida 'Appalachian Spring',E,Pollen,,
Appalachian Spring,Cf-AS,coflo ,Cornus florida 'Appalachian Spring',E,Pollen,,
Appalachian Spring (TN),CfAS4,coflo ,Cornus florida 'Appalachian Spring',E,Pollen,,
Cherokee Brave,CB-20,coflo ,Cornus florida 'Comco No 1',E,Pollen,,
Cherokee Brave,CB-21,coflo ,Cornus florida 'Comco No 1',E,Pollen,,
Cherokee Brave,Cf-CB,coflo ,Cornus florida 'Comco No 1',E,Pollen,,
Cherokee Brave (TN),CfCC,coflo ,Cornus florida 'Comco No 1',E,Pollen,,
Kousa dogwood (TN),CkRC2,coflo ,Cornus kousa,L,Pollen,,
willow,willow1,sapur,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,pollen,,
willow,willow2,sapur,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,pollen,,
poplar,1T,potri,Populus trichocarpa,E,pollen,,
poplar,2T,potri,Populus trichocarpa,E,pollen,,
poplar,3T,potri,Populus trichocarpa,E,pollen,,
poplar,P1,podel,Populus deltoides,E,pollen,,
poplar,P4,podel,Populus deltoides,E,pollen,,
eucalyptus,eu1,eugra ,Eucalyptus grandis,L,pollen,,
eucalyptus,eu2,eugra ,Eucalyptus grandis,L,pollen,,
oak,oak2_R1,qulyr,Quercus lyrata,E,pollen,,
oak,oak3_R1,qulyr,Quercus lyrata,E,pollen,,
chestnut,chest1,comol,Castanea mollissima,L,pollen,,
chestnut,chest2,comol,Castanea mollissima,L,pollen,,
peach,peach1_R1,prdom,Prunus domestica,E,pollen,,
peach,peach2_R1,prdom,Prunus domestica,E,pollen,,
plum Stanley,Plum.St,prdom ,Prunus domestica Stanley,E,Pollen,,
plum Bluebyrd,Plum.BB,prdom ,Prunus domestica Bluebyrd,E,Pollen,,
Plum FT1,Plum.FT1,prdom ,Prunus domestica PtFT#91,E,Pollen,,
Plum FT2,Plum.FT2,prdom ,Prunus domestica PtFT#92,E,Pollen,,
crepe myrtle,cm1,laspp,Lagerstoemia spp,L,pollen,,
crepe myrtle,cm2,laspp,Lagerstoemia spp,L,pollen,,
crepe myrtle,CM1e1,laspp,Lagerstoemia spp,L,pollen,,
crepe myrtle,CM5e1,laspp,Lagerstoemia spp,L,pollen,,
crepe myrtle,CM6e1,laspp,Lagerstoemia spp,L,pollen,,
Magnolia,M-1,maspp,magnolia spp,L,Pollen,,
Magnolia,M-2,maspp,magnolia spp,L,Pollen,,
Magnolia,M-3,maspp,magnolia spp,L,Pollen,,
Magnolia,M-4,maspp,magnolia spp,L,Pollen,,
Saucer magnolia,SM1,masou,Magnolia X soulangeana,E,pollen,,
Saucer magnolia,SM3,masou,Magnolia X soulangeana,E,pollen,,
Saucer magnolia,SM4-1,masou,Magnolia X soulangeana,E,pollen,,
Amborella,A1,amtri,Amborella trichopoda,"L, basal angiosperm",pollen,,
Amborella,A2,amtri,Amborella trichopoda,"L, basal angiosperm",pollen,,
Amborella,A3,amtri,Amborella trichopoda,"L, basal angiosperm",pollen,,
Pine,P-1,pitae,Pinus taeda,"conifer, evergreen",Pollen,,
Pine,P-2,pitae,Pinus taeda,"conifer, evergreen",Pollen,,
Pine,P-3,pitae,Pinus taeda,"conifer, evergreen",Pollen,,
Ginkgo,G-3,gibil,Gingko biloba,"conifer, deciduous",Pollen,,
Ginkgo,G-8,gibil,Gingko biloba,"conifer, deciduous",Pollen,,
Ginkgo,G-10,gibil,Gingko biloba,"conifer, deciduous",Pollen,,
Ginkgo,G-11,gibil,Gingko biloba,"conifer, deciduous",Pollen,,
willow,W4X,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,xylem,,
willow,W5X,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,xylem,,
willow,W6X,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,xylem,,
willow,W4P,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,phloem,,
willow,W5P,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,phloem,,
willow,W6P,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,phloem,,
willow,W4L,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,leaf,,
willow,W5L,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,leaf,,
willow,W6L,,"Salix purpurea clone 9882-34 ""Fish Creek"" - Cornell U in NY",E,leaf,,
American Dogwood,AF-15,,Cornus florida subsp. Florida,E,Flower,,
American Dogwood,AB-16,,Cornus florida subsp. Florida,E,Bract,,
Mexican Dogwood,MF-13,,Cornus florida subsp. Urbiniana,E,Flower,,
Mexican Dogwood,MB-12,,Cornus florida subsp. Urbiniana,E,Bract,,
